Year: Month,Months,3rdd,15thh,Mediann,85thh,97thh
5: 1,61,101.6,105.5,110.3,115.0,118.9
5: 2,62,102.1,106.0,110.8,115.6,119.5
5: 3,63,102.6,106.5,111.3,116.2,120.1
5: 4,64,103.1,107.0,111.9,116.7,120.7
5: 5,65,103.5,107.5,112.4,117.3,121.3
5: 6,66,104.0,108.0,112.9,117.8,121.8
5: 7,67,104.4,108.5,113.4,118.4,122.4
5: 8,68,104.9,109.0,113.9,118.9,123.0
5: 9,69,105.4,109.4,114.5,119.5,123.5
5: 10,70,105.8,109.9,115.0,120.0,124.1
5: 11,71,106.2,110.4,115.5,120.5,124.7
6: 0,72,106.7,110.8,116.0,121.1,125.2
6: 1,73,107.1,111.3,116.4,121.6,125.8
6: 2,74,107.6,111.8,116.9,122.1,126.3
6: 3,75,108.0,112.2,117.4,122.6,126.9
6: 4,76,108.4,112.7,117.9,123.1,127.4
6: 5,77,108.8,113.1,118.4,123.6,127.9
6: 6,78,109.3,113.6,118.9,124.2,128.5
6: 7,79,109.7,114.0,119.4,124.7,129.0
6: 8,80,110.1,114.5,119.8,125.2,129.5
6: 9,81,110.5,114.9,120.3,125.7,130.1
6: 10,82,111.0,115.4,120.8,126.2,130.6
6: 11,83,111.4,115.8,121.3,126.7,131.1
7: 0,84,111.8,116.3,121.7,127.2,131.7
7: 1,85,112.2,116.7,122.2,127.7,132.2
7: 2,86,112.6,117.1,122.7,128.2,132.7
7: 3,87,113.0,117.6,123.1,128.7,133.3
7: 4,88,113.4,118.0,123.6,129.2,133.8
7: 5,89,113.8,118.4,124.1,129.7,134.3
7: 6,90,114.3,118.9,124.5,130.2,134.8
7: 7,91,114.7,119.3,125.0,130.7,135.3
7: 8,92,115.1,119.7,125.5,131.2,135.9
7: 9,93,115.5,120.2,125.9,131.7,136.4
7: 10,94,115.9,120.6,126.4,132.2,136.9
7: 11,95,116.2,121.0,126.8,132.6,137.4
8: 0,96,116.6,121.4,127.3,133.1,137.9
8: 1,97,117.0,121.8,127.7,133.6,138.4
8: 2,98,117.4,122.2,128.2,134.1,138.9
8: 3,99,117.8,122.7,128.6,134.6,139.4
8: 4,100,118.2,123.1,129.0,135.0,139.9
8: 5,101,118.6,123.5,129.5,135.5,140.4
8: 6,102,119.0,123.9,129.9,136.0,140.9
8: 7,103,119.3,124.3,130.4,136.4,141.4
8: 8,104,119.7,124.7,130.8,136.9,141.9
8: 9,105,120.1,125.1,131.3,137.4,142.4
8: 10,106,120.5,125.5,131.7,137.9,142.9
8: 11,107,120.9,125.9,132.1,138.3,143.4
9: 0,108,121.3,126.3,132.6,138.8,143.9
9: 1,109,121.6,126.7,133.0,139.3,144.4
9: 2,110,122.0,127.1,133.4,139.7,144.9
9: 3,111,122.4,127.6,133.9,140.2,145.4
9: 4,112,122.8,128.0,134.3,140.7,145.8
9: 5,113,123.2,128.4,134.7,141.1,146.3
9: 6,114,123.5,128.8,135.2,141.6,146.8
9: 7,115,123.9,129.2,135.6,142.1,147.3
9: 8,116,124.3,129.6,136.1,142.5,147.8
9: 9,117,124.7,130.0,136.5,143.0,148.3
9: 10,118,125.0,130.4,136.9,143.5,148.8
9: 11,119,125.4,130.8,137.3,143.9,149.3
10: 0,120,125.8,131.2,137.8,144.4,149.8
10: 1,121,126.2,131.6,138.2,144.8,150.3
10: 2,122,126.5,132.0,138.6,145.3,150.7
10: 3,123,126.9,132.4,139.1,145.8,151.2
10: 4,124,127.3,132.8,139.5,146.2,151.7
10: 5,125,127.7,133.2,140.0,146.7,152.2
10: 6,126,128.1,133.6,140.4,147.2,152.7
10: 7,127,128.5,134.0,140.8,147.7,153.2
10: 8,128,128.9,134.4,141.3,148.1,153.7
10: 9,129,129.2,134.9,141.7,148.6,154.2
10: 10,130,129.6,135.3,142.2,149.1,154.7
10: 11,131,130.0,135.7,142.7,149.6,155.3
11: 0,132,130.5,136.1,143.1,150.1,155.8
11: 1,133,130.9,136.6,143.6,150.6,156.3
11: 2,134,131.3,137.0,144.1,151.1,156.8
11: 3,135,131.7,137.5,144.5,151.6,157.4
11: 4,136,132.1,137.9,145.0,152.1,157.9
11: 5,137,132.6,138.4,145.5,152.6,158.4
11: 6,138,133.0,138.8,146.0,153.1,159.0
11: 7,139,133.4,139.3,146.5,153.7,159.5
11: 8,140,133.9,139.8,147.0,154.2,160.1
11: 9,141,134.3,140.3,147.5,154.8,160.7
11: 10,142,134.8,140.7,148.0,155.3,161.2
11: 11,143,135.3,141.2,148.5,155.9,161.8
12: 0,144,135.8,141.7,149.1,156.4,162.4
12: 1,145,136.2,142.2,149.6,157.0,163.0
12: 2,146,136.7,142.8,150.2,157.6,163.6
12: 3,147,137.2,143.3,150.7,158.2,164.2
12: 4,148,137.7,143.8,151.3,158.8,164.8
12: 5,149,138.3,144.4,151.9,159.4,165.5
12: 6,150,138.8,144.9,152.4,160.0,166.1
12: 7,151,139.3,145.5,153.0,160.6,166.7
12: 8,152,139.9,146.0,153.6,161.2,167.4
12: 9,153,140.4,146.6,154.2,161.8,168.0
12: 10,154,141.0,147.2,154.8,162.5,168.7
12: 11,155,141.5,147.8,155.4,163.1,169.4
13: 0,156,142.1,148.3,156.0,163.7,170.0
13: 1,157,142.6,148.9,156.7,164.4,170.7
13: 2,158,143.2,149.5,157.3,165.0,171.3
13: 3,159,143.8,150.1,157.9,165.7,172.0
13: 4,160,144.3,150.7,158.5,166.3,172.6
13: 5,161,144.9,151.3,159.1,166.9,173.3
13: 6,162,145.4,151.8,159.7,167.5,173.9
13: 7,163,146.0,152.4,160.3,168.2,174.6
13: 8,164,146.6,153.0,160.9,168.8,175.2
13: 9,165,147.1,153.6,161.5,169.4,175.8
13: 10,166,147.6,154.1,162.1,170.0,176.5
13: 11,167,148.2,154.7,162.6,170.6,177.1
14: 0,168,148.7,155.2,163.2,171.2,177.6
14: 1,169,149.2,155.7,163.7,171.7,178.2
14: 2,170,149.7,156.3,164.3,172.3,178.8
14: 3,171,150.3,156.8,164.8,172.8,179.3
14: 4,172,150.7,157.3,165.3,173.3,179.9
14: 5,173,151.2,157.8,165.8,173.9,180.4
14: 6,174,151.7,158.3,166.3,174.4,180.9
14: 7,175,152.2,158.7,166.8,174.8,181.4
14: 8,176,152.6,159.2,167.2,175.3,181.9
14: 9,177,153.0,159.6,167.7,175.8,182.3
14: 10,178,153.5,160.0,168.1,176.2,182.8
14: 11,179,153.9,160.5,168.5,176.6,183.2
15: 0,180,154.3,160.9,169.0,177.0,183.6
15: 1,181,154.7,161.3,169.4,177.4,184.0
15: 2,182,155.1,161.6,169.7,177.8,184.4
15: 3,183,155.4,162.0,170.1,178.2,184.8
15: 4,184,155.8,162.4,170.5,178.6,185.1
15: 5,185,156.1,162.7,170.8,178.9,185.5
15: 6,186,156.5,163.1,171.1,179.2,185.8
15: 7,187,156.8,163.4,171.5,179.6,186.1
15: 8,188,157.1,163.7,171.8,179.9,186.4
15: 9,189,157.4,164.0,172.1,180.1,186.7
15: 10,190,157.7,164.3,172.4,180.4,187.0
15: 11,191,158.0,164.6,172.6,180.7,187.3
16: 0,192,158.3,164.8,172.9,181.0,187.5
16: 1,193,158.5,165.1,173.1,181.2,187.7
16: 2,194,158.8,165.3,173.4,181.4,188.0
16: 3,195,159.0,165.6,173.6,181.6,188.2
16: 4,196,159.3,165.8,173.8,181.8,188.4
16: 5,197,159.5,166.0,174.0,182.0,188.6
16: 6,198,159.7,166.2,174.2,182.2,188.7
16: 7,199,159.9,166.4,174.4,182.4,188.9
16: 8,200,160.1,166.6,174.6,182.6,189.0
16: 9,201,160.3,166.8,174.7,182.7,189.2
16: 10,202,160.5,166.9,174.9,182.8,189.3
16: 11,203,160.6,167.1,175.0,183.0,189.4
17: 0,204,160.8,167.2,175.2,183.1,189.5
17: 1,205,160.9,167.4,175.3,183.2,189.6
17: 2,206,161.1,167.5,175.4,183.3,189.7
17: 3,207,161.2,167.6,175.5,183.4,189.8
17: 4,208,161.3,167.7,175.6,183.5,189.9
17: 5,209,161.4,167.8,175.7,183.5,189.9
17: 6,210,161.5,167.9,175.8,183.6,190.0
17: 7,211,161.7,168.0,175.8,183.7,190.0
17: 8,212,161.7,168.1,175.9,183.7,190.1
17: 9,213,161.8,168.2,176.0,183.8,190.1
17: 10,214,161.9,168.3,176.0,183.8,190.1
17: 11,215,162.0,168.3,176.1,183.9,190.2
18: 0,216,162.1,168.4,176.1,183.9,190.2
18: 1,217,162.2,168.5,176.2,183.9,190.2
18: 2,218,162.2,168.5,176.2,183.9,190.2
18: 3,219,162.3,168.6,176.3,184.0,190.2
18: 4,220,162.4,168.6,176.3,184.0,190.3
18: 5,221,162.4,168.7,176.4,184.0,190.3
18: 6,222,162.5,168.7,176.4,184.0,190.3
18: 7,223,162.6,168.8,176.4,184.1,190.3
18: 8,224,162.6,168.8,176.4,184.1,190.3
18: 9,225,162.7,168.9,176.5,184.1,190.3
18: 10,226,162.7,168.9,176.5,184.1,190.3
18: 11,227,162.8,168.9,176.5,184.1,190.3
19: 0,228,162.8,169.0,176.5,184.1,190.3