Year: Month,Month,L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
5:  1,61,-0.2026,18.5057,0.12988,12.7,14.4,16.3,18.5,21.1,24.2,27.8
5:  2,62,-0.2130,18.6802,0.13028,12.8,14.5,16.4,18.7,21.3,24.4,28.1
5:  3,63,-0.2234,18.8563,0.13067,13.0,14.6,16.6,18.9,21.5,24.7,28.4
5:  4,64,-0.2338,19.0340,0.13105,13.1,14.8,16.7,19.0,21.7,24.9,28.8
5:  5,65,-0.2443,19.2132,0.13142,13.2,14.9,16.9,19.2,22.0,25.2,29.1
5:  6,66,-0.2548,19.3940,0.13178,13.3,15.0,17.0,19.4,22.2,25.5,29.4
5:  7,67,-0.2653,19.5765,0.13213,13.4,15.2,17.2,19.6,22.4,25.7,29.8
5:  8,68,-0.2758,19.7607,0.13246,13.6,15.3,17.4,19.8,22.6,26.0,30.1
5:  9,69,-0.2864,19.9468,0.13279,13.7,15.4,17.5,19.9,22.8,26.3,30.4
5:10,70,-0.2969,20.1344,0.13311,13.8,15.6,17.7,20.1,23.1,26.6,30.8
5:11,71,-0.3075,20.3235,0.13342,13.9,15.7,17.8,20.3,23.3,26.8,31.2
6:  0,72,-0.3180,20.5137,0.13372,14.1,15.9,18.0,20.5,23.5,27.1,31.5
6:  1,73,-0.3285,20.7052,0.13402,14.2,16.0,18.2,20.7,23.7,27.4,31.9
6:  2,74,-0.3390,20.8979,0.13432,14.3,16.2,18.3,20.9,24.0,27.7,32.2
6:  3,75,-0.3494,21.0918,0.13462,14.5,16.3,18.5,21.1,24.2,28.0,32.6
6:  4,76,-0.3598,21.2870,0.13493,14.6,16.5,18.7,21.3,24.4,28.3,33.0
6:  5,77,-0.3701,21.4833,0.13523,14.7,16.6,18.8,21.5,24.7,28.6,33.3
6:  6,78,-0.3804,21.6810,0.13554,14.9,16.8,19.0,21.7,24.9,28.9,33.7
6:  7,79,-0.3906,21.8799,0.13586,15.0,16.9,19.2,21.9,25.2,29.2,34.1
6:  8,80,-0.4007,22.0800,0.13618,15.1,17.1,19.3,22.1,25.4,29.5,34.5
6:  9,81,-0.4107,22.2813,0.13652,15.3,17.2,19.5,22.3,25.6,29.8,34.9
6:10,82,-0.4207,22.4837,0.13686,15.4,17.4,19.7,22.5,25.9,30.1,35.3
6:11,83,-0.4305,22.6872,0.13722,15.5,17.5,19.9,22.7,26.1,30.4,35.7
7:  0,84,-0.4402,22.8915,0.13759,15.7,17.7,20.0,22.9,26.4,30.7,36.1
7:  1,85,-0.4499,23.0968,0.13797,15.8,17.8,20.2,23.1,26.6,31.0,36.5
7:  2,86,-0.4594,23.3029,0.13838,15.9,18.0,20.4,23.3,26.9,31.3,36.9
7:  3,87,-0.4688,23.5101,0.13880,16.1,18.1,20.6,23.5,27.1,31.7,37.4
7:  4,88,-0.4781,23.7182,0.13923,16.2,18.3,20.7,23.7,27.4,32.0,37.8
7:  5,89,-0.4873,23.9272,0.13969,16.3,18.4,20.9,23.9,27.7,32.3,38.2
7:  6,90,-0.4964,24.1371,0.14016,16.5,18.6,21.1,24.1,27.9,32.6,38.7
7:  7,91,-0.5053,24.3479,0.14065,16.6,18.7,21.3,24.3,28.2,33.0,39.1
7:  8,92,-0.5142,24.5595,0.14117,16.7,18.9,21.4,24.6,28.4,33.3,39.6
7:  9,93,-0.5229,24.7722,0.14170,16.9,19.0,21.6,24.8,28.7,33.7,40.1
7:10,94,-0.5315,24.9858,0.14226,17.0,19.2,21.8,25.0,29.0,34.0,40.5
7:11,95,-0.5399,25.2005,0.14284,17.1,19.3,22.0,25.2,29.2,34.4,41.0
8:  0,96,-0.5482,25.4163,0.14344,17.3,19.5,22.1,25.4,29.5,34.7,41.5
8:  1,97,-0.5564,25.6332,0.14407,17.4,19.6,22.3,25.6,29.8,35.1,42.0
8:  2,98,-0.5644,25.8513,0.14472,17.5,19.8,22.5,25.9,30.1,35.5,42.5
8:  3,99,-0.5722,26.0706,0.14539,17.7,19.9,22.7,26.1,30.3,35.8,43.1
8:  4,100,-0.5799,26.2911,0.14608,17.8,20.1,22.9,26.3,30.6,36.2,43.6
8:  5,101,-0.5873,26.5128,0.14679,17.9,20.2,23.0,26.5,30.9,36.6,44.1
8:  6,102,-0.5946,26.7358,0.14752,18.1,20.4,23.2,26.7,31.2,37.0,44.7
8:  7,103,-0.6017,26.9602,0.14828,18.2,20.5,23.4,27.0,31.5,37.4,45.2
8:  8,104,-0.6085,27.1861,0.14905,18.3,20.7,23.6,27.2,31.8,37.8,45.8
8:  9,105,-0.6152,27.4137,0.14984,18.4,20.8,23.8,27.4,32.1,38.2,46.4
8:10,106,-0.6216,27.6432,0.15066,18.6,21.0,23.9,27.6,32.4,38.6,47.0
8:11,107,-0.6278,27.8750,0.15149,18.7,21.1,24.1,27.9,32.7,39.0,47.6
9:  0,108,-0.6337,28.1092,0.15233,18.8,21.3,24.3,28.1,33.0,39.4,48.2
9:  1,109,-0.6393,28.3459,0.15319,18.9,21.4,24.5,28.3,33.3,39.9,48.8
9:  2,110,-0.6446,28.5854,0.15406,19.1,21.6,24.7,28.6,33.6,40.3,49.5
9:  3,111,-0.6496,28.8277,0.15493,19.2,21.7,24.9,28.8,33.9,40.7,50.1
9:  4,112,-0.6543,29.0731,0.15581,19.3,21.9,25.1,29.1,34.3,41.2,50.8
9:  5,113,-0.6585,29.3217,0.15670,19.5,22.1,25.3,29.3,34.6,41.7,51.5
9:  6,114,-0.6624,29.5736,0.15760,19.6,22.2,25.5,29.6,34.9,42.1,52.1
9:  7,115,-0.6659,29.8289,0.15850,19.7,22.4,25.7,29.8,35.3,42.6,52.8
9:  8,116,-0.6689,30.0877,0.15940,19.9,22.5,25.9,30.1,35.6,43.1,53.5
9:  9,117,-0.6714,30.3501,0.16031,20.0,22.7,26.1,30.4,36.0,43.5,54.2
9:10,118,-0.6735,30.6160,0.16122,20.1,22.9,26.3,30.6,36.3,44.0,55.0
9:11,119,-0.6752,30.8854,0.16213,20.3,23.0,26.5,30.9,36.7,44.5,55.7
10: 0,120,-0.6764,31.1586,0.16305,20.4,23.2,26.7,31.2,37.0,45.0,56.4